City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Amahai,ID,84.16,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
10,Atuona,PF,76.8,few clouds,-9.8,-139.0333,Villa Enata
12,Georgetown,MY,82.35,scattered clouds,5.4112,100.3354,Cititel Penang
19,Salalah,OM,77.09,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
24,Bengkulu,ID,81.36,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
28,Lazaro Cardenas,MX,78.71,broken clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
31,Vaitape,PF,78.31,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
32,Acapulco,MX,82.22,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
36,Los Llanos De Aridane,ES,77.13,clear sky,28.6585,-17.9182,Valle Aridane
38,Mtwara,TZ,75.15,broken clouds,-10.2667,40.1833,TIL Hotels Mtwara
41,Umm Kaddadah,SD,81.03,overcast clouds,13.6017,26.6876,
42,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
44,Faanui,PF,78.35,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
45,Itaituba,BR,75.63,few clouds,-4.2761,-55.9836,Hotel Campos
46,Nouadhibou,MR,78.78,clear sky,20.931,-17.0347,El Medina
50,Auki,SB,86.11,few clouds,-8.7676,160.7034,Auki Motel
51,Victoria,HK,89.96,scattered clouds,22.2855,114.1577,Mini Central
53,Kapaa,US,84.18,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
61,Cabo San Lucas,MX,80.62,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
63,Fare,PF,78.13,few clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
64,Praya,CV,77.54,few clouds,14.9215,-23.5087,LT Aparthotel
72,Vaini,TO,75.36,thunderstorm,-21.2,-175.2,Keleti Beach Resort
74,Pemangkat,ID,77.32,overcast clouds,1.1667,108.9667,Hotel Duyung Permai 2
79,Butaritari,KI,82.36,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
84,Sapa,PH,84.78,overcast clouds,5.1544,120.3241,
87,Port Augusta,AU,79.56,few clouds,-32.5,137.7667,Majestic Oasis Apartments
89,Samarai,PG,80.02,light rain,-10.6167,150.6667,Nuli Sapi
91,Kavieng,PG,84.87,broken clouds,-2.5744,150.7967,Nusa Island Retreat
92,Pasighat,IN,76.53,heavy intensity rain,28.0667,95.3333,Siang Guest House
98,Sao Filipe,CV,78.04,broken clouds,14.8961,-24.4956,Hotel Xaguate
100,Luorong,CN,89.4,few clouds,24.4058,109.6086,荣立大酒店
101,Cockburn Town,TC,82.09,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
104,Yeppoon,AU,76.78,overcast clouds,-23.1333,150.7333,Villa Mar Colina
110,Harper,LR,76.42,light rain,4.375,-7.7169,Screensaver
111,Hithadhoo,MV,82.49,overcast clouds,-0.6,73.0833,Scoop Guest House
112,Muscat,OM,82.42,scattered clouds,23.6139,58.5922,Mutrah Hotel
123,Aswan,EG,81.7,clear sky,24.0934,32.907,Nuba Nile
129,Kloulklubed,PW,82.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
130,Karnal,IN,81.77,clear sky,29.6833,76.9833,Palette - Hotel Luxmi Residency
139,Isangel,VU,76.51,scattered clouds,-19.55,169.2667,Tanna Lodge
142,Barra Patuca,HN,76.53,overcast clouds,15.8,-84.2833,
150,Nishihara,JP,87.46,scattered clouds,26.1842,127.7558,Minshuku Agaihama
153,Acu,BR,75.13,clear sky,-5.5767,-36.9086,Hotel Oásis
163,Yulara,AU,81.79,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
164,Mecca,SA,84.24,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
165,Lethem,GY,78.24,overcast clouds,3.3803,-59.7968,Savannah Inn
168,Hilo,US,81.28,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
169,Iralaya,HN,76.73,overcast clouds,15.0,-83.2333,Iglesia morava renovada
173,Kahului,US,80.62,moderate rain,20.8947,-156.47,Maui Seaside Hotel
178,Mamburao,PH,87.49,overcast clouds,13.25,120.6667,UPPER(tii)
179,Hobyo,SO,78.15,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
187,Pansoy,PH,82.63,overcast clouds,13.1825,122.5989,
194,Tecoanapa,MX,78.01,clear sky,16.5167,-98.75,Hotel Manglares
197,Winneba,GH,75.18,broken clouds,5.3511,-0.6231,Windy Lodge & Beach Resort
198,Kavaratti,IN,81.48,broken clouds,10.5669,72.642,Green leaf
202,Lakatoro,VU,81.19,scattered clouds,-16.0999,167.4164,Lakatoro Palm Lodge
203,Katobu,ID,88.48,moderate rain,-4.9408,122.5276,La Ode Husein
206,Phan Thiet,VN,88.21,overcast clouds,10.9333,108.1,Hotel Saigon-PT
207,Batticaloa,LK,84.29,overcast clouds,7.7102,81.6924,Grand Star Guest House
222,Cartagena,CO,82.02,broken clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
223,San Patricio,US,75.85,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
226,Amapa,BR,75.11,overcast clouds,1.0,-52.0,
231,Makakilo City,US,80.92,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
232,Bathsheba,BB,83.01,broken clouds,13.2167,-59.5167,Atlantis Hotel
236,Ojinaga,MX,76.15,clear sky,29.5667,-104.4167,Suites Las Palmas
242,Naze,JP,83.32,few clouds,28.3667,129.4833,Shishime Hotel
243,Balikpapan,ID,77.99,moderate rain,-1.2675,116.8289,Swiss-Belhotel Balikpapan
249,Envira,BR,75.11,broken clouds,-7.3,-70.2167,
250,Sur,OM,83.89,scattered clouds,22.5667,59.5289,Sur Plaza Hotel
253,Banjar,ID,84.76,broken clouds,-8.19,114.9675,The Hamsa Resort
255,Hambantota,LK,86.34,scattered clouds,6.1241,81.1185,Bungalow 63
257,Mogadishu,SO,78.67,scattered clouds,2.0371,45.3438,Hotel Juba
259,Polewali,ID,85.55,overcast clouds,-3.4324,119.3435,Lilianto Hotel
264,Kantang,TH,88.99,few clouds,7.4054,99.5156,Reng Ta Chai Boutique HomeStay
265,Galle,LK,80.55,moderate rain,6.0367,80.217,Amangalla
266,Cayenne,GF,75.24,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
268,Saint George,US,79.39,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
271,Bilara,IN,87.13,clear sky,26.1792,73.7056,NAVRAJ CHOUDHARY BILAR
277,Ugoofaaru,MV,81.59,overcast clouds,5.6667,73.0,Ungoofaaru Inn
279,Santa Cruz,BO,76.46,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
283,Wanning,CN,84.97,clear sky,18.8003,110.3967,Paradise Hotel
287,Harindanga,IN,86.18,broken clouds,22.0383,88.3214,Hasanur Builders
289,Dingle,PH,87.78,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
295,Laguna,US,78.78,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
300,Sungairaya,ID,79.61,overcast clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
302,Bat Khela,PK,78.76,clear sky,34.6167,71.9714,Electric and pipe fitting and wall final and ceiling
303,Bajil,YE,87.58,broken clouds,15.0584,43.2851,فندق حضرموت
306,Abu Dhabi,AE,86.02,clear sky,24.4667,54.3667,Beach Rotana
309,Gouyave,GD,81.37,few clouds,12.1646,-61.7296,Rumboat Retreat
315,Sola,VU,81.18,few clouds,-13.8833,167.55,Leumerus Bungalows
320,Port Hedland,AU,84.25,clear sky,-20.3167,118.5667,The Esplanade Hotel
326,Sinnamary,GF,77.58,clear sky,5.3833,-52.95,ALETHEIA Appartement Sinnamary
332,Panguna,PG,80.56,light rain,-6.3164,155.4848,
335,Rudbar,AF,76.55,clear sky,30.15,62.6,
337,Sai Buri,TH,85.71,overcast clouds,6.7013,101.6168,สวนป่ารีสอร์ท
339,La Orilla,MX,78.17,overcast clouds,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
340,Porto Nacional,BR,80.6,clear sky,-10.7081,-48.4172,Vila Real Hotel
348,Adrar,MR,88.05,scattered clouds,20.5022,-10.0711,
351,Bilma,NE,84.16,clear sky,18.6853,12.9164,Expeditions Ténére voyages
362,Loikaw,MM,79.66,broken clouds,19.6742,97.2094,Myat Nan Taw Hotel
370,Rameswaram,IN,82.53,overcast clouds,9.2833,79.3,Daiwik Hotels Rameswaram
373,Tual,ID,83.25,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
379,Mayumba,GA,75.09,light rain,-3.432,10.6554,LIKWALE LODGE
382,Nioro,GM,76.41,scattered clouds,13.35,-15.75,
385,Honiara,SB,87.13,broken clouds,-9.4333,159.95,Heritage Park Hotel
386,Mana,GF,77.74,scattered clouds,5.6592,-53.7767,LE SAMANA
395,Bandarbeyla,SO,78.76,overcast clouds,9.4942,50.8122,JABIR HOTEL
398,Port-Gentil,GA,76.91,broken clouds,-0.7193,8.7815,Fengshui Residence
411,Vieques,PR,82.44,few clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
416,Lorengau,PG,85.44,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
418,Barao De Melgaco,BR,78.73,clear sky,-16.1944,-55.9675,Tuiuiu Pantanal Hotel
422,Praia,CV,77.54,few clouds,14.9215,-23.5087,LT Aparthotel
427,Ishigaki,JP,86.13,few clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
428,Araouane,ML,89.56,clear sky,18.9048,-3.5265,
434,Arlit,NE,87.75,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
436,The Valley,AI,82.26,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
437,Maningrida,AU,89.35,broken clouds,-12.0667,134.2667,Dhukurrdji Lodge
445,Mount Isa,AU,83.97,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
447,Madaoua,NE,82.78,few clouds,14.073,5.96,
448,Alice Springs,AU,88.21,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
453,Keti Bandar,PK,83.77,clear sky,24.1447,67.4497,Haji laloo memon house
454,Sironj,IN,75.0,overcast clouds,24.1,77.7,Shri Shyam Palace
457,Denpasar,ID,80.26,broken clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
465,Port Blair,IN,86.04,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
467,Itarema,BR,77.25,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
470,Miramar,US,79.0,clear sky,25.9873,-80.2323,Stadium Hotel
473,Tiarei,PF,80.62,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
475,Namatanai,PG,85.93,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
477,Bull Savanna,JM,76.89,overcast clouds,17.8868,-77.5902,Big Red's
478,Voh,NC,77.02,clear sky,-20.9667,164.7,Le gîte du Koniambo
484,Tutoia,BR,77.97,few clouds,-2.7619,-42.2744,Pousada Guará's
487,Pahrump,US,81.25,clear sky,36.2083,-115.9839,Best Western Pahrump Oasis
489,Chabahar,IR,81.5,clear sky,25.2919,60.643,هتل گدروشیا
493,Axim,GH,75.04,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
497,Pochutla,MX,76.82,few clouds,15.7432,-96.4661,Hotel Posada San Jose
503,Tombouctou,ML,87.1,clear sky,20.0,-3.0,
504,Grand-Lahou,CI,75.29,overcast clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
508,Lodwar,KE,79.99,overcast clouds,3.1191,35.5973,Solmar Gracious Hotel
510,Kalmunai,LK,85.73,overcast clouds,7.4167,81.8167,VS Villa
513,Alvorada,BR,85.66,scattered clouds,-12.48,-49.1247,Cristal Plaza Hotel
522,Port Keats,AU,88.86,clear sky,-14.25,129.55,Kardu Durrikardu Numida Hostel
